Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Weapon Used,Case Closed,Risk
16598,24-11-2021,11/22/2021 13:00,11:25:00,Lucknow,IDENTITY THEFT,59,F,Blunt Object,No,Low
16599,24-11-2021,11/22/2021 14:00,14:25:00,Pune,CYBERCRIME,64,X,Other,Yes,Low
16600,24-11-2021,11/22/2021 15:00,19:36:00,Delhi,ARSON,21,F,Knife,No,Medium
16601,25-11-2021,11/22/2021 16:00,6:02:00,Ahmedabad,VANDALISM,49,F,Firearm,Yes,High
16602,24-11-2021,11/22/2021 17:00,18:18:00,Chennai,KIDNAPPING,20,M,,Yes,High
16603,23-11-2021,11/22/2021 18:00,4:45:00,Ahmedabad,IDENTITY THEFT,56,M,,Yes,Low
16604,25-11-2021,11/22/2021 19:00,13:36:00,Bhopal,ARSON,57,F,,No,Low
16605,25-11-2021,11/22/2021 20:00,20:37:00,Mumbai,SHOPLIFTING,45,F,Knife,Yes,Medium
16606,23-11-2021,11/22/2021 21:00,2:43:00,Delhi,ARSON,21,X,Explosives,Yes,High
16607,23-11-2021,11/22/2021 22:00,18:08:00,Agra,SEXUAL ASSAULT,29,M,Poison,Yes,Medium
16608,25-11-2021,11/22/2021 23:00,22:30:00,Mumbai,DOMESTIC VIOLENCE,27,F,Explosives,Yes,High
16609,25-11-2021,11/23/2021 0:00,2:00:00,Thane,SEXUAL ASSAULT,78,F,Firearm,Yes,High
16610,23-11-2021,11/23/2021 1:00,7:28:00,Visakhapatnam,BURGLARY,45,M,Poison,No,Medium
16611,24-11-2021,11/23/2021 2:00,14:04:00,Hyderabad,IDENTITY THEFT,14,X,,Yes,Low
16612,24-11-2021,11/23/2021 3:00,12:22:00,Kolkata,CYBERCRIME,72,M,Poison,Yes,Medium
16613,25-11-2021,11/23/2021 4:00,11:30:00,Bangalore,DRUG OFFENSE,15,F,Knife,No,Medium
16614,23-11-2021,11/23/2021 5:00,9:10:00,Mumbai,DRUG OFFENSE,39,X,Knife,No,Medium
16615,25-11-2021,11/23/2021 6:00,2:14:00,Ahmedabad,ROBBERY,29,X,Blunt Object,Yes,Low
16616,23-11-2021,11/23/2021 7:00,3:24:00,Delhi,ASSAULT,27,F,Firearm,Yes,High
16617,23-11-2021,11/23/2021 8:00,5:31:00,Chennai,ARSON,73,X,Explosives,Yes,High
16618,24-11-2021,11/23/2021 9:00,19:21:00,Chennai,KIDNAPPING,73,X,Explosives,No,High
16619,24-11-2021,11/23/2021 10:00,11:23:00,Pune,VEHICLE - STOLEN,48,X,Firearm,No,High
16620,26-11-2021,11/23/2021 11:00,22:13:00,Chennai,ARSON,75,X,Firearm,Yes,High
16621,26-11-2021,11/23/2021 12:00,21:45:00,Chennai,VEHICLE - STOLEN,15,M,Firearm,Yes,High
16622,25-11-2021,11/23/2021 13:00,19:30:00,Hyderabad,HOMICIDE,32,X,Firearm,Yes,High
16623,24-11-2021,11/23/2021 14:00,6:46:00,Delhi,CYBERCRIME,10,M,Other,No,Low
16624,24-11-2021,11/23/2021 15:00,9:24:00,Ludhiana,IDENTITY THEFT,50,X,Explosives,Yes,High
16625,23-11-2021,11/23/2021 16:00,9:50:00,Kolkata,FIREARM OFFENSE,65,X,Blunt Object,Yes,Low
16626,24-11-2021,11/23/2021 17:00,14:13:00,Delhi,CYBERCRIME,36,F,Poison,Yes,Medium
16627,24-11-2021,11/23/2021 18:00,16:22:00,Delhi,VEHICLE - STOLEN,62,F,Blunt Object,No,Low
16628,25-11-2021,11/23/2021 19:00,17:06:00,Chennai,DRUG OFFENSE,33,X,Explosives,Yes,High
16629,25-11-2021,11/23/2021 20:00,5:31:00,Vasai,PUBLIC INTOXICATION,16,X,Blunt Object,Yes,Low
16630,26-11-2021,11/23/2021 21:00,16:53:00,Lucknow,DRUG OFFENSE,76,X,Poison,Yes,Medium
16631,24-11-2021,11/23/2021 22:00,5:22:00,Delhi,VANDALISM,30,F,Explosives,No,High
16632,24-11-2021,11/23/2021 23:00,13:00:00,Kolkata,FIREARM OFFENSE,44,F,Firearm,Yes,High
16633,25-11-2021,11/24/2021 0:00,1:42:00,Delhi,HOMICIDE,52,F,Blunt Object,No,High
16634,26-11-2021,11/24/2021 1:00,8:22:00,Kolkata,DRUG OFFENSE,38,F,Knife,Yes,Medium
16635,25-11-2021,11/24/2021 2:00,7:23:00,Bangalore,ROBBERY,65,X,Other,No,Low
16636,25-11-2021,11/24/2021 3:00,9:39:00,Delhi,FRAUD,65,F,Firearm,Yes,High
16637,25-11-2021,11/24/2021 4:00,14:54:00,Delhi,PUBLIC INTOXICATION,30,F,Other,No,Low
16638,27-11-2021,11/24/2021 5:00,1:34:00,Jaipur,ASSAULT,46,F,,Yes,High
16639,24-11-2021,11/24/2021 6:00,7:52:00,Mumbai,ILLEGAL POSSESSION,40,F,,No,Low
16640,24-11-2021,11/24/2021 7:00,17:16:00,Bangalore,VEHICLE - STOLEN,25,X,Other,No,Low
16641,25-11-2021,11/24/2021 8:00,19:56:00,Bangalore,CYBERCRIME,12,M,Knife,No,Medium
16642,26-11-2021,11/24/2021 9:00,16:17:00,Mumbai,VANDALISM,12,F,Blunt Object,No,Low
16643,27-11-2021,11/24/2021 10:00,13:09:00,Delhi,VANDALISM,52,X,Explosives,Yes,High
16644,26-11-2021,11/24/2021 11:00,16:37:00,Pune,IDENTITY THEFT,34,F,Explosives,Yes,High
16645,25-11-2021,11/24/2021 12:00,11:43:00,Thane,COUNTERFEITING,60,M,Firearm,No,High
16646,27-11-2021,11/24/2021 13:00,4:30:00,Mumbai,COUNTERFEITING,52,X,Explosives,Yes,High
16647,25-11-2021,11/24/2021 14:00,13:17:00,Chennai,KIDNAPPING,60,X,,Yes,High
16648,26-11-2021,11/24/2021 15:00,7:14:00,Pune,SEXUAL ASSAULT,33,M,Explosives,No,High
16649,24-11-2021,11/24/2021 16:00,7:03:00,Thane,ASSAULT,37,X,Knife,Yes,High
16650,25-11-2021,11/24/2021 17:00,15:35:00,Nagpur,DOMESTIC VIOLENCE,18,F,Poison,No,Medium
16651,27-11-2021,11/24/2021 18:00,0:07:00,Delhi,ASSAULT,10,M,Firearm,No,High
16652,26-11-2021,11/24/2021 19:00,5:44:00,Kolkata,ARSON,65,F,Explosives,Yes,High
16653,25-11-2021,11/24/2021 20:00,2:02:00,Ahmedabad,COUNTERFEITING,41,F,Knife,No,Medium
16654,26-11-2021,11/24/2021 21:00,9:09:00,Bangalore,DRUG OFFENSE,64,X,Blunt Object,No,Low
16655,27-11-2021,11/24/2021 22:00,1:21:00,Pune,PUBLIC INTOXICATION,24,M,Knife,No,Medium
16656,27-11-2021,11/24/2021 23:00,4:54:00,Srinagar,EXTORTION,55,F,,No,Medium
16657,26-11-2021,11/25/2021 0:00,12:30:00,Delhi,DRUG OFFENSE,70,X,Poison,Yes,Medium
16658,26-11-2021,11/25/2021 1:00,7:38:00,Delhi,COUNTERFEITING,37,F,Other,No,Low
16659,27-11-2021,11/25/2021 2:00,21:41:00,Kolkata,BURGLARY,20,X,Poison,Yes,Medium
16660,27-11-2021,11/25/2021 3:00,10:53:00,Mumbai,BURGLARY,51,X,Blunt Object,No,Medium
16661,26-11-2021,11/25/2021 4:00,8:30:00,Chennai,VEHICLE - STOLEN,77,F,,Yes,Low
16662,27-11-2021,11/25/2021 5:00,8:07:00,Thane,KIDNAPPING,35,F,Poison,Yes,High
16663,25-11-2021,11/25/2021 6:00,0:05:00,Patna,DOMESTIC VIOLENCE,61,X,Knife,No,Medium
16664,25-11-2021,11/25/2021 7:00,10:57:00,Kolkata,COUNTERFEITING,79,M,Knife,No,Medium
16665,27-11-2021,11/25/2021 8:00,9:00:00,Bangalore,BURGLARY,37,X,,No,Medium
16666,26-11-2021,11/25/2021 9:00,7:35:00,Ahmedabad,ROBBERY,74,F,Knife,Yes,Medium
16667,25-11-2021,11/25/2021 10:00,16:22:00,Delhi,FIREARM OFFENSE,14,F,Knife,Yes,Medium
16668,26-11-2021,11/25/2021 11:00,3:38:00,Pune,BURGLARY,49,X,Blunt Object,No,Medium
16669,28-11-2021,11/25/2021 12:00,7:33:00,Chennai,CYBERCRIME,77,M,Poison,No,Medium
16670,25-11-2021,11/25/2021 13:00,6:33:00,Thane,CYBERCRIME,29,F,Poison,Yes,Medium
16671,26-11-2021,11/25/2021 14:00,1:03:00,Delhi,ROBBERY,21,F,Poison,No,Medium
16672,26-11-2021,11/25/2021 15:00,4:51:00,Thane,ARSON,17,F,Other,Yes,Low
16673,28-11-2021,11/25/2021 16:00,0:22:00,Patna,SHOPLIFTING,11,F,Firearm,No,High
16674,28-11-2021,11/25/2021 17:00,10:39:00,Bangalore,KIDNAPPING,69,M,Blunt Object,No,High
16675,26-11-2021,11/25/2021 18:00,9:13:00,Delhi,VANDALISM,70,F,Explosives,Yes,High
16676,27-11-2021,11/25/2021 19:00,22:23:00,Delhi,PUBLIC INTOXICATION,41,M,Firearm,No,High
16677,28-11-2021,11/25/2021 20:00,5:04:00,Agra,ARSON,19,X,,Yes,Low
16678,28-11-2021,11/25/2021 21:00,23:19:00,Delhi,FIREARM OFFENSE,79,X,Knife,No,Medium
16679,27-11-2021,11/25/2021 22:00,1:33:00,Delhi,SEXUAL ASSAULT,29,F,Knife,Yes,Medium
16680,26-11-2021,11/25/2021 23:00,18:09:00,Bangalore,BURGLARY,39,X,Blunt Object,No,Medium
16681,26-11-2021,11/26/2021 0:00,11:36:00,Kanpur,EXTORTION,65,M,Other,Yes,Medium
16682,27-11-2021,11/26/2021 1:00,22:04:00,Surat,KIDNAPPING,64,M,Other,Yes,High
16683,27-11-2021,11/26/2021 2:00,14:01:00,Bangalore,ASSAULT,51,X,,Yes,High
16684,28-11-2021,11/26/2021 3:00,22:35:00,Bangalore,DRUG OFFENSE,45,F,Firearm,Yes,High
16685,28-11-2021,11/26/2021 4:00,2:55:00,Bangalore,PUBLIC INTOXICATION,58,F,Explosives,No,High
16686,26-11-2021,11/26/2021 5:00,5:25:00,Bangalore,IDENTITY THEFT,55,X,,Yes,Low
16687,27-11-2021,11/26/2021 6:00,15:25:00,Lucknow,KIDNAPPING,54,M,Explosives,Yes,High
16688,26-11-2021,11/26/2021 7:00,5:32:00,Kanpur,DRUG OFFENSE,14,F,Explosives,No,High
16689,28-11-2021,11/26/2021 8:00,1:34:00,Delhi,ASSAULT,56,X,Other,No,High
16690,29-11-2021,11/26/2021 9:00,10:41:00,Delhi,HOMICIDE,20,M,Poison,Yes,High
16691,27-11-2021,11/26/2021 10:00,10:11:00,Ludhiana,FIREARM OFFENSE,36,X,Firearm,No,High
16692,26-11-2021,11/26/2021 11:00,22:28:00,Ahmedabad,PUBLIC INTOXICATION,47,M,Explosives,No,High
16693,29-11-2021,11/26/2021 12:00,0:41:00,Faridabad,ILLEGAL POSSESSION,39,F,Knife,No,Medium
16694,27-11-2021,11/26/2021 13:00,10:02:00,Ghaziabad,TRAFFIC VIOLATION,44,M,Firearm,Yes,High
16695,28-11-2021,11/26/2021 14:00,11:16:00,Bhopal,VANDALISM,36,M,Explosives,Yes,High
16696,27-11-2021,11/26/2021 15:00,10:02:00,Pune,DRUG OFFENSE,30,X,Firearm,No,High
16697,29-11-2021,11/26/2021 16:00,22:13:00,Nagpur,ASSAULT,18,M,Poison,No,High
16698,27-11-2021,11/26/2021 17:00,9:09:00,Kolkata,BURGLARY,36,F,Explosives,Yes,High
16699,28-11-2021,11/26/2021 18:00,14:43:00,Bangalore,SEXUAL ASSAULT,53,M,Poison,Yes,Medium
16700,26-11-2021,11/26/2021 19:00,10:43:00,Delhi,KIDNAPPING,34,X,Blunt Object,No,High
16701,28-11-2021,11/26/2021 20:00,17:07:00,Kolkata,SHOPLIFTING,39,M,Poison,Yes,Medium
16702,27-11-2021,11/26/2021 21:00,9:54:00,Bangalore,ILLEGAL POSSESSION,52,F,Poison,No,Medium
16703,28-11-2021,11/26/2021 22:00,14:28:00,Delhi,HOMICIDE,22,F,,Yes,High
16704,27-11-2021,11/26/2021 23:00,7:55:00,Jaipur,COUNTERFEITING,24,M,,Yes,Low
16705,29-11-2021,11/27/2021 0:00,9:00:00,Vasai,EXTORTION,42,F,Explosives,No,High
16706,29-11-2021,11/27/2021 1:00,6:28:00,Mumbai,VANDALISM,79,F,,Yes,Low
16707,28-11-2021,11/27/2021 2:00,21:31:00,Jaipur,HOMICIDE,37,M,Poison,Yes,High
16708,29-11-2021,11/27/2021 3:00,6:59:00,Lucknow,DOMESTIC VIOLENCE,63,F,Explosives,No,High
16709,29-11-2021,11/27/2021 4:00,11:44:00,Lucknow,ILLEGAL POSSESSION,50,F,Explosives,No,High
16710,30-11-2021,11/27/2021 5:00,9:35:00,Srinagar,ARSON,43,X,,Yes,Low
16711,29-11-2021,11/27/2021 6:00,21:18:00,Delhi,SEXUAL ASSAULT,57,X,Blunt Object,Yes,Low
16712,29-11-2021,11/27/2021 7:00,20:30:00,Mumbai,VEHICLE - STOLEN,66,X,,Yes,Low
16713,28-11-2021,11/27/2021 8:00,18:41:00,Ghaziabad,SHOPLIFTING,63,F,Other,No,Low
16714,29-11-2021,11/27/2021 9:00,9:19:00,Kanpur,TRAFFIC VIOLATION,30,F,Explosives,No,High
16715,29-11-2021,11/27/2021 10:00,19:54:00,Vasai,EXTORTION,73,X,Knife,No,Medium
16716,30-11-2021,11/27/2021 11:00,6:53:00,Agra,FIREARM OFFENSE,61,X,Other,No,Low
16717,30-11-2021,11/27/2021 12:00,9:55:00,Bangalore,ILLEGAL POSSESSION,67,X,Other,No,Low
16718,27-11-2021,11/27/2021 13:00,3:11:00,Mumbai,VANDALISM,77,M,Firearm,Yes,High
16719,28-11-2021,11/27/2021 14:00,3:09:00,Srinagar,SEXUAL ASSAULT,60,F,Explosives,No,High
16720,29-11-2021,11/27/2021 15:00,21:36:00,Nagpur,DRUG OFFENSE,53,M,,Yes,Low
16721,28-11-2021,11/27/2021 16:00,13:55:00,Hyderabad,KIDNAPPING,60,X,Other,No,High
16722,30-11-2021,11/27/2021 17:00,14:28:00,Kolkata,FIREARM OFFENSE,78,X,Explosives,No,High
16723,29-11-2021,11/27/2021 18:00,13:22:00,Mumbai,FIREARM OFFENSE,68,F,Blunt Object,Yes,Low
16724,28-11-2021,11/27/2021 19:00,1:53:00,Mumbai,SHOPLIFTING,54,M,Firearm,Yes,High
16725,29-11-2021,11/27/2021 20:00,19:39:00,Bhopal,SHOPLIFTING,72,X,Knife,Yes,Medium
16726,30-11-2021,11/27/2021 21:00,13:01:00,Faridabad,PUBLIC INTOXICATION,11,M,Poison,No,Medium
16727,30-11-2021,11/27/2021 22:00,22:31:00,Hyderabad,CYBERCRIME,36,M,Other,Yes,Low
16728,28-11-2021,11/27/2021 23:00,5:01:00,Jaipur,TRAFFIC VIOLATION,59,M,Explosives,No,High
16729,30-11-2021,11/28/2021 0:00,5:54:00,Mumbai,DRUG OFFENSE,79,F,,No,Low
16730,30-11-2021,11/28/2021 1:00,11:03:00,Nagpur,SHOPLIFTING,14,F,Knife,No,Medium
16731,29-11-2021,11/28/2021 2:00,14:38:00,Delhi,DRUG OFFENSE,25,X,Knife,No,Medium
16732,29-11-2021,11/28/2021 3:00,11:01:00,Lucknow,SHOPLIFTING,57,X,Firearm,No,High
16733,30-11-2021,11/28/2021 4:00,22:54:00,Lucknow,FIREARM OFFENSE,74,F,Other,No,Low
16734,28-11-2021,11/28/2021 5:00,8:34:00,Ahmedabad,COUNTERFEITING,77,F,Knife,Yes,Medium
16735,30-11-2021,11/28/2021 6:00,18:56:00,Kolkata,FRAUD,43,F,Other,No,Medium
16736,30-11-2021,11/28/2021 7:00,7:15:00,Hyderabad,ILLEGAL POSSESSION,39,M,Blunt Object,No,Low
16737,28-11-2021,11/28/2021 8:00,7:20:00,Patna,IDENTITY THEFT,58,X,Poison,No,Medium
16738,28-11-2021,11/28/2021 9:00,2:03:00,Surat,BURGLARY,75,X,Explosives,No,High
16739,30-11-2021,11/28/2021 10:00,0:11:00,Ghaziabad,ARSON,70,X,Explosives,No,High
16740,30-11-2021,11/28/2021 11:00,17:01:00,Hyderabad,EXTORTION,66,F,Blunt Object,No,Medium
16741,29-11-2021,11/28/2021 12:00,17:00:00,Delhi,TRAFFIC VIOLATION,19,M,Blunt Object,No,Low
16742,30-11-2021,11/28/2021 13:00,16:40:00,Kolkata,ARSON,37,X,Explosives,Yes,High
16743,29-11-2021,11/28/2021 14:00,19:50:00,Kalyan,SHOPLIFTING,41,F,Poison,Yes,Medium
16744,1/12/2021,11/28/2021 15:00,20:59:00,Ahmedabad,COUNTERFEITING,64,F,Explosives,Yes,High
16745,30-11-2021,11/28/2021 16:00,17:30:00,Mumbai,ARSON,44,M,,Yes,Low
16746,29-11-2021,11/28/2021 17:00,15:35:00,Patna,ROBBERY,32,M,Knife,No,Medium
16747,30-11-2021,11/28/2021 18:00,18:50:00,Chennai,SEXUAL ASSAULT,34,X,Blunt Object,Yes,Low
16748,1/12/2021,11/28/2021 19:00,2:04:00,Kolkata,EXTORTION,38,M,Blunt Object,No,Medium
16749,30-11-2021,11/28/2021 20:00,23:18:00,Jaipur,ASSAULT,40,X,Poison,Yes,High
16750,29-11-2021,11/28/2021 21:00,21:38:00,Chennai,DOMESTIC VIOLENCE,56,M,Poison,No,Medium
16751,30-11-2021,11/28/2021 22:00,3:58:00,Bangalore,COUNTERFEITING,59,M,,Yes,Low
16752,1/12/2021,11/28/2021 23:00,14:56:00,Ahmedabad,TRAFFIC VIOLATION,60,F,Blunt Object,Yes,Low
16753,30-11-2021,11/29/2021 0:00,1:00:00,Delhi,PUBLIC INTOXICATION,12,M,Knife,Yes,Medium
16754,29-11-2021,11/29/2021 1:00,7:00:00,Mumbai,DOMESTIC VIOLENCE,62,F,Poison,No,Medium
16755,1/12/2021,11/29/2021 2:00,2:04:00,Faridabad,ILLEGAL POSSESSION,28,M,Explosives,Yes,High
16756,1/12/2021,11/29/2021 3:00,8:31:00,Ahmedabad,HOMICIDE,37,X,Other,No,High
16757,30-11-2021,11/29/2021 4:00,10:24:00,Delhi,KIDNAPPING,11,F,Explosives,Yes,High
16758,29-11-2021,11/29/2021 5:00,4:26:00,Pune,ILLEGAL POSSESSION,42,X,Explosives,Yes,High
16759,30-11-2021,11/29/2021 6:00,4:13:00,Kanpur,ILLEGAL POSSESSION,40,X,Explosives,Yes,High
16760,2/12/2021,11/29/2021 7:00,15:31:00,Mumbai,ARSON,64,M,Other,No,Low
16761,30-11-2021,11/29/2021 8:00,21:37:00,Kolkata,BURGLARY,14,X,Other,Yes,Medium
16762,2/12/2021,11/29/2021 9:00,0:52:00,Delhi,VEHICLE - STOLEN,37,F,,No,Low
16763,30-11-2021,11/29/2021 10:00,15:33:00,Delhi,SHOPLIFTING,51,M,Other,No,Low
16764,1/12/2021,11/29/2021 11:00,23:55:00,Bangalore,KIDNAPPING,48,F,Knife,Yes,High
16765,2/12/2021,11/29/2021 12:00,18:23:00,Ahmedabad,ASSAULT,79,X,Other,Yes,High
16766,1/12/2021,11/29/2021 13:00,17:07:00,Agra,ROBBERY,47,M,Other,No,Low
16767,30-11-2021,11/29/2021 14:00,12:45:00,Mumbai,ASSAULT,76,F,,No,High
16768,1/12/2021,11/29/2021 15:00,15:30:00,Kolkata,DOMESTIC VIOLENCE,63,X,Firearm,Yes,High
16769,1/12/2021,11/29/2021 16:00,12:21:00,Delhi,FIREARM OFFENSE,73,M,,Yes,Low
16770,30-11-2021,11/29/2021 17:00,7:57:00,Ahmedabad,EXTORTION,75,F,Other,Yes,Medium
16771,2/12/2021,11/29/2021 18:00,10:14:00,Bhopal,VEHICLE - STOLEN,26,M,Firearm,No,High
16772,29-11-2021,11/29/2021 19:00,10:56:00,Delhi,ASSAULT,20,X,Blunt Object,No,High
16773,1/12/2021,11/29/2021 20:00,2:28:00,Bhopal,KIDNAPPING,75,X,,No,High
16774,30-11-2021,11/29/2021 21:00,22:10:00,Surat,COUNTERFEITING,67,M,Firearm,No,High
16775,30-11-2021,11/29/2021 22:00,9:49:00,Jaipur,FIREARM OFFENSE,34,M,Other,No,Low
16776,30-11-2021,11/29/2021 23:00,5:44:00,Delhi,SHOPLIFTING,50,M,Knife,No,Medium
16777,1/12/2021,11/30/2021 0:00,18:31:00,Pune,HOMICIDE,47,M,,No,High
16778,30-11-2021,11/30/2021 1:00,7:19:00,Delhi,KIDNAPPING,19,X,Knife,Yes,High
16779,2/12/2021,11/30/2021 2:00,17:34:00,Pune,HOMICIDE,44,X,,Yes,High
16780,1/12/2021,11/30/2021 3:00,10:34:00,Jaipur,ROBBERY,77,F,Knife,Yes,Medium
16781,30-11-2021,11/30/2021 4:00,2:33:00,Lucknow,TRAFFIC VIOLATION,38,X,Knife,Yes,Medium
16782,3/12/2021,11/30/2021 5:00,14:03:00,Kolkata,PUBLIC INTOXICATION,47,X,Other,Yes,Low
16783,30-11-2021,11/30/2021 6:00,0:15:00,Hyderabad,COUNTERFEITING,52,X,Blunt Object,No,Low
16784,3/12/2021,11/30/2021 7:00,10:11:00,Lucknow,IDENTITY THEFT,71,X,,No,Low
16785,2/12/2021,11/30/2021 8:00,14:48:00,Hyderabad,SEXUAL ASSAULT,17,F,Firearm,No,High
16786,3/12/2021,11/30/2021 9:00,5:34:00,Hyderabad,DRUG OFFENSE,37,F,Other,Yes,Low
16787,1/12/2021,11/30/2021 10:00,14:21:00,Hyderabad,FRAUD,53,M,Explosives,No,High
16788,1/12/2021,11/30/2021 11:00,9:15:00,Kolkata,COUNTERFEITING,49,M,Knife,No,Medium
16789,2/12/2021,11/30/2021 12:00,5:27:00,Kanpur,SHOPLIFTING,24,X,Poison,No,Medium
16790,3/12/2021,11/30/2021 13:00,15:12:00,Hyderabad,FRAUD,75,M,Poison,No,Medium
16791,2/12/2021,11/30/2021 14:00,17:28:00,Pune,PUBLIC INTOXICATION,53,M,Poison,Yes,Medium
16792,30-11-2021,11/30/2021 15:00,0:38:00,Chennai,TRAFFIC VIOLATION,68,F,Blunt Object,No,Low
16793,1/12/2021,11/30/2021 16:00,22:40:00,Pune,FIREARM OFFENSE,16,M,,Yes,Low
16794,3/12/2021,11/30/2021 17:00,14:24:00,Ahmedabad,ROBBERY,55,F,Firearm,Yes,High
16795,1/12/2021,11/30/2021 18:00,8:54:00,Pune,ASSAULT,17,X,Other,Yes,High
16796,2/12/2021,11/30/2021 19:00,19:24:00,Mumbai,ASSAULT,38,X,Explosives,No,High
16797,3/12/2021,11/30/2021 20:00,7:30:00,Visakhapatnam,SEXUAL ASSAULT,23,X,Knife,Yes,Medium
16798,3/12/2021,11/30/2021 21:00,21:45:00,Jaipur,SHOPLIFTING,33,F,Other,No,Low
16799,3/12/2021,11/30/2021 22:00,3:29:00,Ahmedabad,KIDNAPPING,36,X,Other,No,High
16800,2/12/2021,11/30/2021 23:00,7:02:00,Delhi,ROBBERY,70,X,Knife,No,Medium
16801,1/12/2021,12/1/2021,16:16:00,Patna,FRAUD,57,M,Poison,Yes,Medium
16802,3/12/2021,12/1/2021,1:38:00,Bhopal,TRAFFIC VIOLATION,45,M,Explosives,No,High
16803,2/12/2021,12/1/2021,17:41:00,Kanpur,BURGLARY,47,X,Blunt Object,Yes,Medium
16804,1/12/2021,12/1/2021,16:19:00,Delhi,HOMICIDE,45,M,Poison,No,High
16805,3/12/2021,12/1/2021,4:03:00,Hyderabad,IDENTITY THEFT,10,X,Firearm,No,High
16806,3/12/2021,12/1/2021,2:04:00,Nagpur,CYBERCRIME,62,F,Poison,No,Medium
16807,2/12/2021,12/1/2021,5:07:00,Hyderabad,BURGLARY,64,X,Knife,Yes,Medium
16808,3/12/2021,12/1/2021,5:12:00,Bangalore,DOMESTIC VIOLENCE,10,X,Knife,No,Medium
16809,1/12/2021,12/1/2021,8:47:00,Mumbai,EXTORTION,63,M,,No,Medium
16810,3/12/2021,12/1/2021,4:29:00,Kolkata,DOMESTIC VIOLENCE,59,F,,No,Low
16811,4/12/2021,12/1/2021,18:21:00,Chennai,ILLEGAL POSSESSION,43,F,Firearm,Yes,High
16812,4/12/2021,12/1/2021,18:05:00,Delhi,PUBLIC INTOXICATION,19,X,Other,No,Low
16813,3/12/2021,12/1/2021,4:40:00,Pune,FIREARM OFFENSE,50,X,Explosives,No,High
16814,2/12/2021,12/1/2021,15:18:00,Vasai,ILLEGAL POSSESSION,29,F,Explosives,No,High
16815,3/12/2021,12/1/2021,12:33:00,Delhi,COUNTERFEITING,18,F,Explosives,No,High
16816,3/12/2021,12/1/2021,3:54:00,Mumbai,PUBLIC INTOXICATION,57,F,Other,Yes,Low
16817,3/12/2021,12/1/2021,0:29:00,Delhi,KIDNAPPING,42,X,Explosives,No,High
16818,4/12/2021,12/1/2021,9:41:00,Delhi,KIDNAPPING,52,F,Firearm,Yes,High
16819,3/12/2021,12/1/2021,14:55:00,Chennai,ASSAULT,34,X,,Yes,High
16820,4/12/2021,12/1/2021,22:01:00,Chennai,FIREARM OFFENSE,28,M,Firearm,No,High
16821,4/12/2021,12/1/2021,11:35:00,Bangalore,CYBERCRIME,51,F,Other,Yes,Low
16822,2/12/2021,12/1/2021,12:56:00,Delhi,EXTORTION,59,M,Knife,No,Medium
16823,2/12/2021,12/1/2021,8:08:00,Mumbai,EXTORTION,26,M,,No,Medium
16824,4/12/2021,12/1/2021,23:06:00,Delhi,FRAUD,46,X,Other,No,Medium
16825,3/12/2021,12/2/2021,21:50:00,Delhi,COUNTERFEITING,64,M,Firearm,Yes,High
16826,3/12/2021,12/2/2021,15:38:00,Varanasi,TRAFFIC VIOLATION,77,F,Explosives,No,High
16827,2/12/2021,12/2/2021,12:54:00,Mumbai,FRAUD,42,M,Explosives,Yes,High
16828,3/12/2021,12/2/2021,10:09:00,Ludhiana,TRAFFIC VIOLATION,62,F,Firearm,No,High
16829,3/12/2021,12/2/2021,6:14:00,Delhi,PUBLIC INTOXICATION,10,X,Knife,No,Medium
16830,4/12/2021,12/2/2021,13:15:00,Agra,EXTORTION,58,M,Poison,Yes,Medium
16831,4/12/2021,12/2/2021,5:23:00,Jaipur,FRAUD,66,F,Poison,Yes,Medium
16832,2/12/2021,12/2/2021,16:55:00,Ludhiana,EXTORTION,16,X,Explosives,Yes,High
16833,3/12/2021,12/2/2021,18:21:00,Pune,DRUG OFFENSE,76,X,Firearm,Yes,High
16834,5/12/2021,12/2/2021,9:00:00,Nagpur,ILLEGAL POSSESSION,38,X,Poison,Yes,Medium
16835,5/12/2021,12/2/2021,4:02:00,Kolkata,COUNTERFEITING,53,F,Explosives,Yes,High
16836,2/12/2021,12/2/2021,2:15:00,Delhi,IDENTITY THEFT,19,M,Poison,Yes,Medium
16837,3/12/2021,12/2/2021,21:39:00,Mumbai,IDENTITY THEFT,41,M,Explosives,No,High
16838,3/12/2021,12/2/2021,11:47:00,Delhi,KIDNAPPING,75,M,Firearm,No,High
16839,3/12/2021,12/2/2021,8:16:00,Nagpur,ASSAULT,36,F,,Yes,High
16840,3/12/2021,12/2/2021,6:45:00,Mumbai,HOMICIDE,25,X,Firearm,No,High
16841,3/12/2021,12/2/2021,21:35:00,Mumbai,CYBERCRIME,57,X,,No,Low
16842,3/12/2021,12/2/2021,3:29:00,Kolkata,TRAFFIC VIOLATION,14,X,Poison,No,Medium
16843,4/12/2021,12/2/2021,0:37:00,Meerut,DOMESTIC VIOLENCE,39,M,Blunt Object,No,Low
16844,4/12/2021,12/2/2021,5:41:00,Pune,SEXUAL ASSAULT,18,X,Poison,Yes,Medium
16845,3/12/2021,12/2/2021,18:20:00,Kanpur,DOMESTIC VIOLENCE,15,M,Blunt Object,Yes,Low
16846,4/12/2021,12/2/2021,21:31:00,Surat,FIREARM OFFENSE,31,F,Knife,Yes,Medium
